game_id,result,reward
1,lose,-10.0
2,lose,-20.0
3,lose,-20.0
4,lose,-20.0
5,lose,-20.0
6,lose,-20.0
7,lose,-10.0
8,lose,-20.0
9,lose,-10.0
10,lose,-20.0
11,lose,-20.0
12,lose,-40.0
13,lose,-40.0
14,lose,-20.0
15,lose,-10.0
16,lose,-10.0
17,lose,-10.0
18,lose,-10.0
19,lose,-10.0
20,lose,-40.0
21,lose,-10.0
22,lose,-40.0
23,lose,-20.0
24,win,20.0
25,win,20.0
26,lose,-25.0
27,lose,-20.0
28,win,20.0
29,lose,-20.0
30,lose,-10.0
31,lose,-20.0
32,lose,-25.0
33,lose,-40.0
34,lose,-20.0
35,lose,-20.0
36,lose,-20.0
37,lose,-20.0
38,win,20.0
39,win,20.0
40,lose,-20.0
41,lose,-20.0
42,lose,-20.0
43,lose,-20.0
44,win,20.0
45,win,20.0
46,lose,-20.0
47,win,30.0
48,lose,-20.0
49,lose,-20.0
50,win,20.0
51,lose,-20.0
52,lose,-20.0
53,lose,-20.0
54,lose,-20.0
56,win,20.0
57,win,20.0
58,lose,-20.0
59,lose,-20.0
60,win,20.0
61,win,20.0
62,lose,-20.0
63,win,30.0
64,lose,-20.0
65,lose,-20.0
66,lose,-20.0
67,lose,-40.0
68,lose,-40.0
69,win,20.0
70,lose,-20.0
71,win,20.0
72,lose,-20.0
73,win,20.0
74,lose,-40.0
75,lose,-20.0
76,win,20.0
77,lose,-20.0
78,win,20.0
79,lose,-20.0
80,lose,-20.0
81,lose,-20.0
82,win,40.0
83,win,20.0
84,win,20.0
85,lose,-20.0
86,win,20.0
87,win,20.0
88,lose,-20.0
89,lose,-20.0
90,lose,-20.0
91,win,30.0
92,win,40.0
93,lose,-20.0
94,lose,-40.0
95,lose,-20.0
96,lose,-10.0
97,win,20.0
98,lose,-20.0
99,lose,-20.0
100,win,20.0
101,win,20.0
102,lose,-20.0
103,lose,-40.0
104,lose,-20.0
105,lose,-20.0
106,lose,-20.0
107,lose,-20.0
108,lose,-20.0
110,win,30.0
111,lose,-20.0
112,lose,-20.0
113,win,20.0
114,lose,-20.0
115,lose,-40.0
116,win,20.0
117,lose,-40.0
118,lose,-20.0
119,win,20.0
120,lose,-20.0
121,lose,-20.0
122,lose,-20.0
123,win,20.0
124,lose,-20.0
126,win,20.0
127,win,20.0
128,win,20.0
129,lose,-40.0
130,win,20.0
131,lose,-20.0
132,lose,-20.0
133,win,20.0
134,lose,-20.0
135,lose,-20.0
136,win,30.0
137,win,20.0
138,lose,-20.0
139,lose,-20.0
140,lose,-10.0
141,win,30.0
142,lose,-20.0
143,win,20.0
144,win,20.0
145,lose,-20.0
146,lose,-20.0
147,lose,-20.0
148,win,20.0
149,win,20.0
150,lose,-20.0
151,lose,-20.0
152,win,20.0
153,lose,-20.0
154,lose,-20.0
155,lose,-20.0
156,win,20.0
157,win,30.0
158,lose,-20.0
160,lose,-10.0
161,lose,-20.0
162,win,20.0
163,lose,-10.0
164,lose,-20.0
165,lose,-20.0
166,lose,-10.0
167,lose,-40.0
169,lose,-20.0
170,lose,-20.0
171,lose,-10.0
172,lose,-20.0
173,lose,-10.0
174,lose,-20.0
175,win,20.0
176,lose,-10.0
178,win,20.0
179,lose,-20.0
180,win,20.0
181,lose,-20.0
182,lose,-20.0
183,win,20.0
184,win,20.0
185,lose,-20.0
186,lose,-40.0
187,lose,-10.0
188,win,20.0
189,win,20.0
190,win,20.0
191,lose,-10.0
192,win,20.0
193,lose,-20.0
194,lose,-20.0
195,lose,-20.0
196,lose,-20.0
197,lose,-20.0
198,lose,-20.0
199,lose,-40.0
200,lose,-20.0
201,win,20.0
203,lose,-40.0
204,lose,-20.0
205,lose,-20.0
206,win,20.0
207,lose,-20.0
208,win,20.0
209,lose,-20.0
210,win,40.0
211,lose,-20.0
212,lose,-20.0
213,lose,-20.0
214,lose,-20.0
215,lose,-20.0
216,lose,-20.0
217,lose,-20.0
218,lose,-20.0
220,lose,-10.0
222,lose,-10.0
223,lose,-20.0
224,win,20.0
225,win,20.0
226,win,20.0
