game_id,result,reward
1,lose,-20.0
2,win,20.0
3,lose,-40.0
4,lose,-10.0
5,lose,-20.0
6,lose,-10.0
7,win,40.0
8,lose,-40.0
9,lose,-40.0
10,lose,-40.0
11,lose,-40.0
12,lose,-40.0
13,lose,-10.0
14,lose,-40.0
15,lose,-40.0
16,lose,-20.0
17,lose,-10.0
18,lose,-10.0
20,win,40.0
21,win,40.0
22,win,40.0
23,lose,-10.0
24,lose,-40.0
25,win,20.0
26,lose,-10.0
27,lose,-40.0
29,lose,-20.0
30,lose,-10.0
31,lose,-40.0
33,lose,-40.0
34,lose,-40.0
35,lose,-40.0
36,lose,-20.0
37,lose,-20.0
38,lose,-20.0
39,win,40.0
40,lose,-20.0
41,lose,-20.0
42,lose,-20.0
43,lose,-20.0
44,lose,-20.0
45,lose,-20.0
46,lose,-20.0
47,lose,-20.0
48,lose,-40.0
50,lose,-20.0
51,lose,-20.0
52,lose,-10.0
53,win,20.0
54,lose,-20.0
55,lose,-10.0
56,lose,-20.0
57,lose,-20.0
58,lose,-10.0
59,lose,-20.0
60,win,20.0
61,win,20.0
62,lose,-20.0
63,lose,-10.0
64,lose,-10.0
65,win,20.0
67,lose,-40.0
68,lose,-20.0
69,lose,-20.0
70,lose,-20.0
71,lose,-40.0
72,lose,-20.0
73,lose,-20.0
74,win,40.0
75,lose,-20.0
76,lose,-20.0
77,lose,-20.0
78,lose,-40.0
79,lose,-20.0
80,lose,-20.0
81,win,20.0
82,lose,-20.0
83,win,20.0
84,lose,-10.0
85,win,30.0
86,lose,-20.0
87,lose,-10.0
88,lose,-20.0
89,lose,-10.0
90,win,20.0
91,lose,-10.0
93,win,20.0
94,lose,-20.0
95,lose,-40.0
96,win,20.0
97,lose,-10.0
98,lose,-20.0
99,lose,-10.0
102,lose,-10.0
104,lose,-20.0
105,lose,-10.0
106,lose,-20.0
107,win,40.0
108,lose,-40.0
109,lose,-20.0
110,lose,-20.0
111,win,40.0
112,lose,-20.0
113,win,20.0
114,win,20.0
115,win,20.0
116,lose,-10.0
117,lose,-40.0
118,lose,-20.0
119,lose,-20.0
121,win,20.0
122,lose,-20.0
123,lose,-20.0
124,lose,-20.0
125,win,40.0
126,lose,-20.0
127,win,20.0
128,win,20.0
129,lose,-20.0
130,lose,-20.0
131,win,40.0
132,win,20.0
133,lose,-40.0
134,lose,-10.0
135,lose,-20.0
136,lose,-20.0
137,win,20.0
138,win,20.0
139,lose,-40.0
140,lose,-20.0
141,lose,-20.0
142,win,20.0
143,win,20.0
144,lose,-20.0
145,win,20.0
146,win,40.0
147,lose,-10.0
148,win,20.0
149,lose,-10.0
150,win,20.0
151,lose,-40.0
152,win,20.0
154,lose,-20.0
155,win,20.0
156,win,20.0
157,win,40.0
158,lose,-10.0
159,lose,-20.0
160,lose,-20.0
161,win,20.0
162,lose,-20.0
163,lose,-40.0
164,win,40.0
165,lose,-20.0
166,win,20.0
168,win,40.0
169,lose,-40.0
170,lose,-40.0
171,win,20.0
172,lose,-20.0
173,lose,-20.0
175,lose,-20.0
176,win,20.0
177,lose,-20.0
178,lose,-20.0
179,lose,-20.0
180,lose,-20.0
181,lose,-40.0
182,win,40.0
183,win,20.0
184,lose,-20.0
185,lose,-10.0
186,win,30.0
187,lose,-20.0
188,lose,-20.0
189,lose,-40.0
190,lose,-20.0
191,lose,-20.0
192,win,20.0
193,lose,-20.0
194,win,20.0
195,lose,-20.0
196,lose,-20.0
197,win,40.0
198,lose,-10.0
199,lose,-20.0
200,win,20.0
201,win,20.0
202,lose,-20.0
203,lose,-20.0
204,lose,-20.0
205,lose,-40.0
206,win,20.0
207,win,40.0
208,lose,-20.0
209,lose,-20.0
210,win,40.0
211,win,20.0
212,lose,-40.0
213,win,20.0
214,win,20.0
215,win,20.0
216,lose,-20.0
217,lose,-20.0
218,lose,-10.0
219,lose,-20.0
220,lose,-20.0
221,lose,-20.0
222,lose,-20.0
223,lose,-20.0
224,lose,-20.0
225,win,20.0
227,lose,-10.0
228,lose,-10.0
229,lose,-20.0
230,win,20.0
231,win,20.0
232,lose,-40.0
233,win,40.0
234,win,20.0
235,lose,-40.0
236,lose,-10.0
237,win,20.0
238,lose,-20.0
240,win,20.0
241,lose,-40.0
242,win,20.0
243,win,40.0
244,lose,-40.0
245,lose,-20.0
246,lose,-20.0
247,lose,-20.0
249,lose,-40.0
250,lose,-40.0
251,lose,-20.0
252,win,20.0
253,win,20.0
254,lose,-20.0
255,win,20.0
256,lose,-20.0
257,lose,-20.0
258,lose,-20.0
259,win,40.0
260,win,20.0
261,win,20.0
262,lose,-20.0
263,lose,-20.0
264,lose,-20.0
265,lose,-20.0
266,lose,-20.0
267,lose,-40.0
268,win,20.0
269,win,20.0
270,lose,-20.0
271,lose,-10.0
272,lose,-20.0
273,win,20.0
274,win,20.0
275,lose,-40.0
276,lose,-40.0
277,lose,-20.0
278,lose,-20.0
279,lose,-20.0
280,win,40.0
281,win,20.0
282,lose,-20.0
283,win,20.0
284,win,20.0
285,win,20.0
286,lose,-20.0
287,win,20.0
288,lose,-10.0
289,win,20.0
290,lose,-20.0
291,win,20.0
292,lose,-20.0
293,win,20.0
295,lose,-20.0
296,lose,-20.0
297,win,20.0
298,lose,-20.0
299,lose,-20.0
300,win,20.0
301,lose,-20.0
302,lose,-20.0
303,win,20.0
304,lose,-40.0
305,lose,-20.0
307,lose,-20.0
308,lose,-40.0
309,win,20.0
310,win,20.0
311,win,20.0
312,win,20.0
313,lose,-10.0
314,lose,-20.0
315,lose,-40.0
317,lose,-20.0
318,lose,-20.0
319,win,20.0
320,lose,-40.0
321,lose,-10.0
322,win,20.0
323,lose,-40.0
324,lose,-20.0
325,lose,-20.0
326,lose,-40.0
327,lose,-20.0
329,lose,-40.0
330,win,20.0
332,lose,-40.0
