game_id,result,reward
1,lose,-10.0
2,lose,-10.0
3,lose,-40.0
4,lose,-20.0
5,win,40.0
6,lose,-20.0
8,win,40.0
9,lose,-40.0
10,lose,-40.0
11,lose,-10.0
12,lose,-20.0
13,lose,-20.0
14,win,40.0
15,win,40.0
16,lose,-40.0
17,lose,-20.0
18,lose,-40.0
19,lose,-10.0
20,lose,-40.0
21,win,40.0
22,lose,-20.0
23,lose,-40.0
24,lose,-20.0
25,lose,-40.0
26,lose,-40.0
27,win,40.0
28,lose,-40.0
29,win,40.0
30,win,20.0
31,win,30.0
32,win,20.0
33,lose,-20.0
34,win,20.0
35,win,40.0
36,lose,-40.0
37,lose,-20.0
38,win,20.0
39,lose,-10.0
40,lose,-20.0
41,lose,-20.0
42,win,40.0
43,win,20.0
44,lose,-20.0
45,win,30.0
46,win,20.0
47,win,20.0
48,lose,-20.0
49,lose,-20.0
50,lose,-10.0
51,win,30.0
52,lose,-20.0
54,win,20.0
55,lose,-20.0
56,lose,-20.0
57,lose,-20.0
58,lose,-20.0
59,lose,-20.0
60,win,30.0
61,lose,-20.0
62,win,30.0
63,lose,-20.0
64,win,20.0
65,win,20.0
66,lose,-20.0
67,lose,-20.0
69,win,20.0
70,lose,-40.0
71,lose,-20.0
72,win,20.0
73,lose,-20.0
74,lose,-20.0
75,lose,-20.0
76,win,20.0
77,win,20.0
78,lose,-20.0
79,lose,-10.0
80,lose,-20.0
81,lose,-20.0
82,lose,-20.0
83,lose,-40.0
84,win,20.0
85,win,40.0
86,win,20.0
87,win,20.0
88,lose,-20.0
89,lose,-20.0
90,lose,-20.0
91,lose,-20.0
92,win,20.0
93,lose,-40.0
94,lose,-20.0
95,win,20.0
96,lose,-20.0
97,lose,-20.0
98,win,20.0
99,lose,-20.0
100,lose,-10.0
101,win,20.0
102,lose,-20.0
103,lose,-10.0
104,lose,-20.0
105,lose,-20.0
106,lose,-20.0
107,win,20.0
108,lose,-20.0
109,win,20.0
110,win,20.0
111,lose,-20.0
112,lose,-20.0
114,lose,-20.0
115,lose,-20.0
116,win,20.0
117,lose,-20.0
118,lose,-20.0
119,lose,-20.0
120,lose,-20.0
121,lose,-10.0
122,win,20.0
123,win,20.0
124,lose,-20.0
125,lose,-20.0
126,lose,-20.0
127,lose,-20.0
129,win,20.0
130,lose,-20.0
131,win,30.0
132,lose,-10.0
133,lose,-20.0
134,lose,-20.0
135,lose,-20.0
136,lose,-20.0
137,lose,-10.0
138,lose,-20.0
139,lose,-20.0
140,win,20.0
141,win,20.0
142,win,20.0
143,win,20.0
144,lose,-20.0
145,lose,-40.0
146,lose,-20.0
147,lose,-20.0
148,win,20.0
149,lose,-20.0
150,win,20.0
151,lose,-20.0
152,win,20.0
153,win,20.0
154,lose,-20.0
155,win,20.0
156,win,20.0
157,lose,-20.0
158,lose,-20.0
159,win,20.0
160,lose,-20.0
161,win,40.0
162,win,20.0
163,win,20.0
164,lose,-40.0
165,lose,-20.0
166,lose,-20.0
167,lose,-40.0
168,lose,-20.0
169,win,20.0
170,lose,-20.0
171,lose,-20.0
172,win,20.0
173,win,30.0
174,lose,-20.0
175,lose,-20.0
176,win,20.0
177,win,20.0
178,lose,-20.0
179,win,20.0
180,win,20.0
181,lose,-20.0
182,win,20.0
