score,hand_length,action,result,reward,p_hand_1,p_hand_2,p_hand_is_nbj,p_hand_is_busted,d_hand_1,d_hand_length,money
14,2,STAND,win,20,3,49,False,False,41,1,9980
17,2,RETRY,unsettled,-5,21,46,False,False,44,1,10000
13,2,DOUBLE DOWN,win,40,0,1,False,False,1,1,9965
15,2,DOUBLE DOWN,draw,0,37,43,False,False,48,1,10005
19,2,HIT,unsettled,0,13,33,False,False,32,1,10005
18,2,STAND,win,20,10,46,False,False,24,1,9985
5,2,HIT,unsettled,0,27,41,False,False,21,1,10005
16,3,SURRENDER,surrendered,-10,27,41,False,False,21,1,10005
17,2,HIT,unsettled,0,37,45,False,False,35,1,9975
17,2,DOUBLE DOWN,win,40,8,20,False,False,14,1,9875
7,2,RETRY,unsettled,-5,16,2,False,False,39,1,9835
20,2,HIT,unsettled,0,34,13,False,False,10,1,9790
12,2,STAND,win,20,5,44,False,False,43,1,9760
9,2,DOUBLE DOWN,win,40,28,31,False,False,1,1,9770
15,2,SURRENDER,surrendered,-10,6,7,False,False,0,1,9810
21,2,STAND,win,30,49,39,True,False,41,1,9750
5,2,HIT,unsettled,0,2,14,False,False,44,1,9740
10,2,HIT,unsettled,0,33,27,False,False,8,1,9700
14,3,RETRY,unsettled,-5,33,27,False,False,8,1,9700
15,2,HIT,unsettled,0,21,18,False,False,11,1,9645
14,2,RETRY,unsettled,-5,20,5,False,False,16,1,9625
16,2,RETRY,unsettled,-5,34,6,False,False,19,1,9580
18,2,HIT,unsettled,0,39,45,False,False,19,1,9525
21,2,STAND,win,30,51,0,True,False,13,1,9405
15,2,SURRENDER,surrendered,-10,17,11,False,False,49,1,9435
15,2,RETRY,unsettled,-5,36,43,False,False,39,1,9425
9,2,STAND,win,20,45,1,False,False,12,1,9380
15,2,DOUBLE DOWN,win,40,8,44,False,False,15,1,9400
18,2,HIT,unsettled,0,7,22,False,False,16,1,9440
21,3,STAND,win,20,7,22,False,False,16,1,9440
18,2,DOUBLE DOWN,win,40,48,7,False,False,19,1,9460
13,2,RETRY,unsettled,-5,27,0,False,False,50,1,9440
4,2,HIT,unsettled,0,27,14,False,False,50,1,9435
19,2,STAND,win,20,34,23,False,False,38,1,9405
8,2,HIT,unsettled,0,44,40,False,False,32,1,9425
15,2,SURRENDER,surrendered,-10,44,21,False,False,49,1,9375
9,2,DOUBLE DOWN,draw,0,40,45,False,False,16,1,9365
13,2,RETRY,unsettled,-5,51,15,False,False,45,1,9365
15,2,RETRY,unsettled,-5,36,4,False,False,34,1,9320
12,2,DOUBLE DOWN,win,40,30,6,False,False,32,1,9275
18,2,RETRY,unsettled,-5,10,33,False,False,3,1,9315
19,2,RETRY,unsettled,-5,10,47,False,False,3,1,9310
12,2,HIT,unsettled,0,10,27,False,False,3,1,9305
16,3,SURRENDER,surrendered,-10,10,27,False,False,3,1,9305
13,2,HIT,unsettled,0,26,14,False,False,48,1,9295
20,2,STAND,win,20,35,11,False,False,13,1,9285
18,2,DOUBLE DOWN,win,40,38,46,False,False,5,1,9225
20,2,STAND,win,20,48,22,False,False,27,1,9265
17,2,SURRENDER,surrendered,-10,36,19,False,False,16,1,9235
16,2,DOUBLE DOWN,win,40,31,37,False,False,19,1,9185
12,2,HIT,unsettled,0,28,47,False,False,36,1,9225
8,2,RETRY,unsettled,-5,1,5,False,False,23,1,9165
5,2,RETRY,unsettled,-5,28,1,False,False,4,1,9120
21,2,STAND,win,30,38,39,True,False,41,1,9095
20,2,HIT,unsettled,0,8,39,False,False,25,1,9125
17,2,RETRY,unsettled,-5,7,8,False,False,37,1,9105
11,2,DOUBLE DOWN,win,40,7,15,False,False,37,1,9100
20,2,RETRY,unsettled,-5,25,48,False,False,34,1,9090
16,2,DOUBLE DOWN,win,40,31,22,False,False,29,1,9065
21,2,HIT,unsettled,0,13,12,True,False,16,1,9035
10,2,DOUBLE DOWN,win,40,27,46,False,False,31,1,8975
15,2,RETRY,unsettled,-5,12,30,False,False,32,1,8965
20,2,STAND,draw,0,12,35,False,False,32,1,8960
21,2,HIT,unsettled,0,13,11,True,False,40,1,8960
15,3,STAND,win,20,13,11,False,False,40,1,8960
19,2,RETRY,unsettled,-5,37,8,False,False,4,1,8980
20,2,STAND,draw,0,49,36,False,False,18,1,8835
9,2,DOUBLE DOWN,win,40,45,1,False,False,50,1,8835
17,2,RETRY,unsettled,-5,0,18,False,False,7,1,8835
21,2,HIT,unsettled,0,0,51,True,False,7,1,8830
8,2,HIT,unsettled,0,17,41,False,False,26,1,8810
18,3,HIT,unsettled,0,17,41,False,False,26,1,8810
15,2,RETRY,unsettled,-5,32,7,False,False,31,1,8780
12,2,RETRY,unsettled,-5,27,25,False,False,30,1,8755
11,2,RETRY,unsettled,-5,27,34,False,False,30,1,8750
7,2,RETRY,unsettled,-5,27,4,False,False,30,1,8745
12,2,HIT,unsettled,0,27,9,False,False,30,1,8740
16,2,STAND,win,20,19,21,False,False,3,1,8720
16,2,SURRENDER,surrendered,-10,5,50,False,False,25,1,8740
10,2,HIT,unsettled,0,5,3,False,False,29,1,8730
15,3,SURRENDER,surrendered,-10,5,3,False,False,29,1,8730
12,2,STAND,win,20,16,33,False,False,42,1,8630
15,2,RETRY,unsettled,-5,31,21,False,False,34,1,8650
17,2,HIT,unsettled,0,31,39,False,False,34,1,8645
15,3,DOUBLE DOWN,win,40,31,39,False,False,34,1,8645
20,2,STAND,win,20,13,34,False,False,45,1,8655
14,2,HIT,unsettled,0,28,26,False,False,19,1,8615
13,2,HIT,unsettled,0,13,27,False,False,14,1,8505
14,2,HIT,unsettled,0,16,22,False,False,12,1,8455
14,2,RETRY,unsettled,-5,20,18,False,False,51,1,8435
